日期,股票代码,名称,涨跌幅
2012/8/17,'399300,沪深300,-0.267
2012/8/16,'399300,沪深300,-0.5123
2012/8/15,'399300,沪深300,-1.0777
2012/8/14,'399300,沪深300,0.2162
2012/8/13,'399300,沪深300,-1.9927
2012/8/10,'399300,沪深300,-0.4955
2012/8/9,'399300,沪深300,0.9166
2012/8/8,'399300,沪深300,0.0386
2012/8/7,'399300,沪深300,0.1367
2012/8/6,'399300,沪深300,1.3542
2012/8/3,'399300,沪深300,0.8075
2012/8/2,'399300,沪深300,-1.0077
2012/8/1,'399300,沪深300,1.1029
2012/7/31,'399300,沪深300,-0.1229
2012/7/30,'399300,沪深300,-0.5668
2012/7/27,'399300,沪深300,0.069
2012/7/26,'399300,沪深300,-0.5337
2012/7/25,'399300,沪深300,-0.6696
2012/7/24,'399300,沪深300,0.4465
2012/7/23,'399300,沪深300,-1.3769
2012/7/20,'399300,沪深300,-1.067
2012/7/19,'399300,沪深300,0.4137
2012/7/18,'399300,沪深300,0.0056
2012/7/17,'399300,沪深300,0.603
2012/7/16,'399300,沪深300,-2.0771
2012/7/13,'399300,沪深300,0.0593
2012/7/12,'399300,沪深300,0.9733
2012/7/11,'399300,沪深300,0.7839
2012/7/10,'399300,沪深300,-0.3862
2012/7/9,'399300,沪深300,-2.2882
2012/7/6,'399300,沪深300,1.7382
2012/7/5,'399300,沪深300,-1.4016
2012/7/4,'399300,沪深300,-0.154
2012/7/3,'399300,沪深300,0.1413
2012/7/2,'399300,沪深300,0.1473
2012/6/29,'399300,沪深300,1.4793
2012/6/28,'399300,沪深300,-0.8772
2012/6/27,'399300,沪深300,-0.3145
2012/6/26,'399300,沪深300,-0.0653
2012/6/25,'399300,沪深300,-2.2159
2012/6/21,'399300,沪深300,-1.5837
2012/6/20,'399300,沪深300,-0.2349
2012/6/19,'399300,沪深300,-0.8752
2012/6/18,'399300,沪深300,0.5124
2012/6/15,'399300,沪深300,0.2981
2012/6/14,'399300,沪深300,-0.7833
2012/6/13,'399300,沪深300,1.5927
2012/6/12,'399300,沪深300,-0.707
2012/6/11,'399300,沪深300,1.3444
2012/6/8,'399300,沪深300,-0.7023
2012/6/7,'399300,沪深300,-0.595
2012/6/6,'399300,沪深300,-0.0563
2012/6/5,'399300,沪深300,-0.0072
2012/6/4,'399300,沪深300,-2.8094
2012/6/1,'399300,沪深300,0.0363
2012/5/31,'399300,沪深300,-0.3866
2012/5/30,'399300,沪深300,-0.3243
2012/5/29,'399300,沪深300,1.3831
2012/5/28,'399300,沪深300,1.6162
2012/5/25,'399300,沪深300,-0.8537
2012/5/24,'399300,沪深300,-0.8258
2012/5/23,'399300,沪深300,-0.4056
2012/5/22,'399300,沪深300,1.5574
2012/5/21,'399300,沪深300,0.515
2012/5/18,'399300,沪深300,-1.529
2012/5/17,'399300,沪深300,1.5262
2012/5/16,'399300,沪深300,-1.6324
2012/5/15,'399300,沪深300,0.0703
2012/5/14,'399300,沪深300,-0.8109
2012/5/11,'399300,沪深300,-0.7638
2012/5/10,'399300,沪深300,-0.0113
2012/5/9,'399300,沪深300,-1.9048
2012/5/8,'399300,沪深300,-0.3187
2012/5/7,'399300,沪深300,0.0699
2012/5/4,'399300,沪深300,0.9051
2012/5/3,'399300,沪深300,0.2993
2012/5/2,'399300,沪深300,2.183
2012/4/27,'399300,沪深300,-0.2025
2012/4/26,'399300,沪深300,0.2093
2012/4/25,'399300,沪深300,0.8109
2012/4/24,'399300,沪深300,-0.045
2012/4/23,'399300,沪深300,-0.7919
2012/4/20,'399300,沪深300,1.1858
2012/4/19,'399300,沪深300,-0.1482
2012/4/18,'399300,沪深300,2.2828
2012/4/17,'399300,沪深300,-1.2494
2012/4/16,'399300,沪深300,-0.2484
2012/4/13,'399300,沪深300,0.3897
2012/4/12,'399300,沪深300,2
2012/4/11,'399300,沪深300,0.0098
2012/4/10,'399300,沪深300,0.9876
2012/4/9,'399300,沪深300,-0.9796
2012/4/6,'399300,沪深300,0.2785
2012/4/5,'399300,沪深300,2.3599
2012/3/30,'399300,沪深300,0.482
2012/3/29,'399300,沪深300,-1.284
2012/3/28,'399300,沪深300,-2.8362
2012/3/27,'399300,沪深300,-0.3248
2012/3/26,'399300,沪深300,0.098
2012/3/23,'399300,沪深300,-1.1923
2012/3/22,'399300,沪深300,-0.1563
2012/3/21,'399300,沪深300,0.1295
2012/3/20,'399300,沪深300,-1.7326
2012/3/19,'399300,沪深300,0.2475
2012/3/16,'399300,沪深300,1.4687
2012/3/15,'399300,沪深300,-0.7508
2012/3/14,'399300,沪深300,-2.8335
2012/3/13,'399300,沪深300,1.0048
2012/3/12,'399300,沪深300,-0.3716
2012/3/9,'399300,沪深300,1.0817
2012/3/8,'399300,沪深300,1.2595
2012/3/7,'399300,沪深300,-0.6885
2012/3/6,'399300,沪深300,-1.5641
2012/3/5,'399300,沪深300,-0.6432
2012/3/2,'399300,沪深300,1.7692
2012/3/1,'399300,沪深300,-0.0303
2012/2/29,'399300,沪深300,-1.0637
2012/2/28,'399300,沪深300,0.2217
2012/2/27,'399300,沪深300,0.3231
2012/2/24,'399300,沪深300,1.6023
2012/2/23,'399300,沪深300,0.338
2012/2/22,'399300,沪深300,1.3668
2012/2/21,'399300,沪深300,0.8559
2012/2/20,'399300,沪深300,0.1427
2012/2/17,'399300,沪深300,0.0399
2012/2/16,'399300,沪深300,-0.5308
2012/2/15,'399300,沪深300,1.0904
2012/2/14,'399300,沪深300,-0.39
2012/2/13,'399300,沪深300,-0.0648
2012/2/10,'399300,沪深300,0.1737
2012/2/9,'399300,沪深300,0.0394
2012/2/8,'399300,沪深300,2.8594
2012/2/7,'399300,沪深300,-1.8515
2012/2/6,'399300,沪深300,-0.0705
2012/2/3,'399300,沪深300,0.7985
2012/2/2,'399300,沪深300,2.3567
2012/2/1,'399300,沪深300,-1.4311
2012/1/31,'399300,沪深300,0.1439
2012/1/30,'399300,沪深300,-1.7318
2012/1/20,'399300,沪深300,1.4478
2012/1/19,'399300,沪深300,1.9058
2012/1/18,'399300,沪深300,-1.5611
2012/1/17,'399300,沪深300,4.9006
2012/1/16,'399300,沪深300,-2.0333
2012/1/13,'399300,沪深300,-1.6789
2012/1/12,'399300,沪深300,-0.016
2012/1/11,'399300,沪深300,-0.4797
2012/1/10,'399300,沪深300,3.326
2012/1/9,'399300,沪深300,3.4039
2012/1/6,'399300,沪深300,0.6245
2012/1/5,'399300,沪深300,-0.973
2012/1/4,'399300,沪深300,-2.0032
2011/12/30,'399300,沪深300,1.4875
2011/12/29,'399300,沪深300,0.1487
2011/12/28,'399300,沪深300,0.1255
2011/12/27,'399300,沪深300,-1.313
2011/12/26,'399300,沪深300,-0.9943
2011/12/23,'399300,沪深300,0.7613
2011/12/22,'399300,沪深300,0.0952
2011/12/21,'399300,沪深300,-1.5971
2011/12/20,'399300,沪深300,-0.3076
2011/12/19,'399300,沪深300,-0.2394
2011/12/16,'399300,沪深300,2.1079
2011/12/15,'399300,沪深300,-2.3646
2011/12/14,'399300,沪深300,-1.0094
2011/12/13,'399300,沪深300,-2.2506
2011/12/12,'399300,沪深300,-1.0293
2011/12/9,'399300,沪深300,-0.8531
2011/12/8,'399300,沪深300,-0.1276
2011/12/7,'399300,沪深300,0.4724
2011/12/6,'399300,沪深300,-0.2
2011/12/5,'399300,沪深300,-1.4048
2011/12/2,'399300,沪深300,-1.018
2011/12/1,'399300,沪深300,2.4625
2011/11/30,'399300,沪深300,-3.337
2011/11/29,'399300,沪深300,1.3697
2011/11/28,'399300,沪深300,0.1303
2011/11/25,'399300,沪深300,-0.7317
2011/11/24,'399300,沪深300,0.1898
2011/11/23,'399300,沪深300,-0.9758
2011/11/22,'399300,沪深300,-0.0081
2011/11/21,'399300,沪深300,0.1225
2011/11/18,'399300,沪深300,-2.0857
2011/11/17,'399300,沪深300,-0.3033
2011/11/16,'399300,沪深300,-2.7167
2011/11/15,'399300,沪深300,-0.2005
2011/11/14,'399300,沪深300,2.048
2011/11/11,'399300,沪深300,-0.1699
2011/11/10,'399300,沪深300,-1.8922
2011/11/9,'399300,沪深300,0.8778
2011/11/8,'399300,沪深300,-0.312
2011/11/7,'399300,沪深300,-0.995
2011/11/4,'399300,沪深300,0.7086
2011/11/3,'399300,沪深300,0.0697
2011/11/2,'399300,沪深300,1.6629
2011/11/1,'399300,沪深300,0.0826
2011/10/31,'399300,沪深300,-0.5061
2011/10/28,'399300,沪深300,1.9394
2011/10/27,'399300,沪深300,0.2197
2011/10/26,'399300,沪深300,0.999
2011/10/25,'399300,沪深300,1.8922
2011/10/24,'399300,沪深300,2.743
2011/10/21,'399300,沪深300,-0.5021
2011/10/20,'399300,沪深300,-2.4215
2011/10/19,'399300,沪深300,-0.3521
2011/10/18,'399300,沪深300,-2.8025
2011/10/17,'399300,沪深300,0.4962
2011/10/14,'399300,沪深300,-0.3312
2011/10/13,'399300,沪深300,0.6747
2011/10/12,'399300,沪深300,3.635
2011/10/11,'399300,沪深300,-0.199
2011/10/10,'399300,沪深300,-0.9402
2011/9/30,'399300,沪深300,-0.264
2011/9/29,'399300,沪深300,-0.8582
2011/9/28,'399300,沪深300,-1.0345
2011/9/27,'399300,沪深300,1.0326
2011/9/26,'399300,沪深300,-2.1936
2011/9/23,'399300,沪深300,-0.6036
2011/9/22,'399300,沪深300,-3.0791
2011/9/21,'399300,沪深300,3.0175
2011/9/20,'399300,沪深300,0.3947
2011/9/19,'399300,沪深300,-2.0014
2011/9/16,'399300,沪深300,0.1809
2011/9/15,'399300,沪深300,-0.1484
2011/9/14,'399300,沪深300,0.4715
2011/9/13,'399300,沪深300,-1.12
2011/9/9,'399300,沪深300,-0.1818
2011/9/8,'399300,沪深300,-0.8271
2011/9/7,'399300,沪深300,2.0485
2011/9/6,'399300,沪深300,-0.7476
2011/9/5,'399300,沪深300,-2.1412
2011/9/2,'399300,沪深300,-1.0824
2011/9/1,'399300,沪深300,-0.43
2011/8/31,'399300,沪深300,0.1772
2011/8/30,'399300,沪深300,-0.388
2011/8/29,'399300,沪深300,-1.6685
2011/8/26,'399300,沪深300,-0.0903
2011/8/25,'399300,沪深300,3.3388
2011/8/24,'399300,沪深300,-0.3895
2011/8/23,'399300,沪深300,1.5558
2011/8/22,'399300,沪深300,-1.0641
2011/8/19,'399300,沪深300,-0.9382
